id,company,company_class,title,title_dbpedia,title_class,category,employment_type,location,skill_1,skill_2,skill_3,skill_1_class,skill_2_class,skill_3_class
1,AceTech,AceTech,Chief Executive Officer,ChiefExecutiveOfficer,Chief_Executive_Officer,Executive,Full-Time,San Francisco,Leadership,Strategic Planning,Business Development,Leadership,StrategicPlanning,BusinessDevelopment
2,NovaCorp,NovaCorp,Chief Operating Officer,ChiefOperatingOfficer,Chief_Operating_Officer,Executive,Full-Time,New York,Operations Management,Financial Reporting,Supply Chain Management,OperationsManagement,FinancialReporting,SupplyChainManagement
3,Sunrise Holdings,SunriseHoldings,Chief Financial Officer,ChiefFinancialOfficer,Chief_Financial_Officer,Executive,Full-Time,Los Angeles,Financial Analysis,Accounting,Financial Management,FinancialAnalysis,Accounting,FinancialManagement
4,BlueSky Enterprises,BlueSkyEnterprises,Chief Marketing Officer,ChiefMarketingOfficer,Chief_Marketing_Officer,Executive,Full-Time,Chicago,Marketing Strategy,Branding,Market Research,MarketingStrategy,Branding,MarketResearch
5,Peak Performance,PeakPerformance,Chief Technology Officer,ChiefTechnologyOfficer,Chief_Technology_Officer,Executive,Full-Time,Seattle,Software Development,Object-Oriented Programming,Database Management,SoftwareDevelopment,Object-OrientedProgramming,DatabaseManagement
6,Maxwell Dynamics,MaxwellDynamics,Chief Information Officer,ChiefInformationOfficer,Chief_Information_Officer,Executive,Full-Time,Dallas,Web Development,Database Management,User Experience Design,WebDevelopment,DatabaseManagement,UserExperienceDesign
7,Spectrum Group,SpectrumGroup,Chief Human Resources Officer,ChiefHumanResourcesOfficer,Chief_Human_Resources_Officer,Executive,Full-Time,Denver,Team Management,Relationship Building,Sales,TeamManagement,RelationshipBuilding,Sales
8,Golden Horizon,GoldenHorizon,Chief Sales Officer,ChiefSalesOfficer,Chief_Sales_Officer,Executive,Full-Time,Miami,Sales,Sales Management,Marketing,Sales,SalesManagement,Marketing
9,Infinite Growth,InfiniteGrowth,Chief Strategy Officer,ChiefStrategyOfficer,Chief_Strategy_Officer,Executive,Full-Time,Phoenix,Business Strategy,Strategic Planning,Marketing,BusinessStrategy,StrategicPlanning,Marketing
10,Innovative Ideas,InnovativeIdeas,Chief Creative Officer,ChiefCreativeOfficer,Chief_Creative_Officer,Executive,Full-Time,San Diego,Creative Design,Marketing,Branding,CreativeDesign,Marketing,Branding
11,Nimbus Industries,NimbusIndustries,Chief Legal Officer,ChiefLegalOfficer,Chief_Legal_Officer,Executive,Full-Time,Detroit,Legal,Compliance,Project Management,Legal,Compliance,ProjectManagement
12,Global Network,GlobalNetwork,Chief Business Development Officer,ChiefBusinessDevelopmentOfficer,Chief_Business_Development_Officer,Executive,Full-Time,Houston,Business Development,Marketing,Project Management,BusinessDevelopment,Marketing,ProjectManagement
13,Harmony Enterprises,HarmonyEnterprises,Chief Communications Officer,ChiefCommunicationsOfficer,Chief_Communications_Officer,Executive,Full-Time,Atlanta,Communication,Public Relations,Marketing,Communication,PublicRelations,Marketing
14,Quantum Innovations,QuantumInnovations,Chief Innovation Officer,ChiefInnovationOfficer,Chief_Innovation_Officer,Executive,Full-Time
